time,user_id,event,language
1625908379,user_sw3kh5lxfre9o3ct,sign_in,es
1625916537,user_sw3kh5lxfre9o3ct,message_received,es
1625916646,user_sw3kh5lxfre9o3ct,message_received,es
1625916689,user_sw3kh5lxfre9o3ct,message_sent,es
1625917021,user_sw3kh5lxfre9o3ct,message_received,es
1625917168,user_sw3kh5lxfre9o3ct,message_received,es
1625917275,user_sw3kh5lxfre9o3ct,message_sent,es
1625917404,user_sw3kh5lxfre9o3ct,message_received,es
1625918555,user_sw3kh5lxfre9o3ct,message_received,es
1625918703,user_sw3kh5lxfre9o3ct,message_received,es
1625918950,user_sw3kh5lxfre9o3ct,message_sent,es
1625919207,user_sw3kh5lxfre9o3ct,message_received,es
1625919260,user_sw3kh5lxfre9o3ct,message_received,es
1625919556,user_sw3kh5lxfre9o3ct,message_received,es
1625919561,user_sw3kh5lxfre9o3ct,message_received,es
1625919819,user_sw3kh5lxfre9o3ct,message_sent,es
1625920087,user_sw3kh5lxfre9o3ct,message_received,es
1625920223,user_sw3kh5lxfre9o3ct,message_sent,es
1625920304,user_sw3kh5lxfre9o3ct,message_received,es
1625920541,user_sw3kh5lxfre9o3ct,message_sent,es
1625920623,user_sw3kh5lxfre9o3ct,message_sent,es
1625920857,user_sw3kh5lxfre9o3ct,message_received,es
1625921030,user_sw3kh5lxfre9o3ct,message_received,es
1625921085,user_sw3kh5lxfre9o3ct,message_sent,es
1625921104,user_sw3kh5lxfre9o3ct,message_sent,es
1625921219,user_sw3kh5lxfre9o3ct,message_received,es
1625921280,user_sw3kh5lxfre9o3ct,message_received,es
1625921587,user_sw3kh5lxfre9o3ct,message_received,es
1625921680,user_sw3kh5lxfre9o3ct,message_sent,es
1625921997,user_sw3kh5lxfre9o3ct,message_sent,es
1625922047,user_sw3kh5lxfre9o3ct,message_received,es
1625922267,user_sw3kh5lxfre9o3ct,message_sent,es
1625923691,user_sw3kh5lxfre9o3ct,message_received,es
1625923975,user_sw3kh5lxfre9o3ct,message_received,es
1625924066,user_sw3kh5lxfre9o3ct,message_sent,es
1625924309,user_sw3kh5lxfre9o3ct,message_received,es
1625924357,user_sw3kh5lxfre9o3ct,message_received,es
1626488336,VZ%%DnA75WlDw,Q-ZJLAWli,zh-Hans
1625924697,user_sw3kh5lxfre9o3ct,message_received,es
1625924986,user_sw3kh5lxfre9o3ct,message_received,es
1625925108,user_sw3kh5lxfre9o3ct,message_received,es
1625925245,user_sw3kh5lxfre9o3ct,message_received,es
1625925562,user_sw3kh5lxfre9o3ct,message_received,es
1625925773,user_sw3kh5lxfre9o3ct,message_received,es
1625925865,user_sw3kh5lxfre9o3ct,message_sent,es
1625926064,user_sw3kh5lxfre9o3ct,message_received,es
1625926330,user_sw3kh5lxfre9o3ct,message_received,es
1625926609,user_sw3kh5lxfre9o3ct,message_sent,es
1625926627,user_sw3kh5lxfre9o3ct,message_received,es
1625926671,user_sw3kh5lxfre9o3ct,message_received,es
1625927007,user_sw3kh5lxfre9o3ct,message_received,es
1625927181,user_sw3kh5lxfre9o3ct,message_received,es
1625927223,user_sw3kh5lxfre9o3ct,message_sent,es
1625927418,user_sw3kh5lxfre9o3ct,message_received,es
1625927513,user_sw3kh5lxfre9o3ct,message_received,es
1625927851,user_sw3kh5lxfre9o3ct,message_sent,es
1625928027,user_sw3kh5lxfre9o3ct,message_sent,es
1625928047,user_sw3kh5lxfre9o3ct,message_sent,es
1625928316,user_sw3kh5lxfre9o3ct,message_received,es
1625928551,user_sw3kh5lxfre9o3ct,message_received,es
1625928793,user_sw3kh5lxfre9o3ct,message_sent,es
1625928805,user_sw3kh5lxfre9o3ct,message_received,es
1625928917,user_sw3kh5lxfre9o3ct,message_sent,es
1625929003,user_sw3kh5lxfre9o3ct,message_received,es
1625929042,user_sw3kh5lxfre9o3ct,message_received,es
1625929086,user_sw3kh5lxfre9o3ct,message_received,es
1625929387,user_sw3kh5lxfre9o3ct,message_received,es
1625929484,user_sw3kh5lxfre9o3ct,message_received,es
1625929727,user_sw3kh5lxfre9o3ct,message_sent,es
1625929814,user_sw3kh5lxfre9o3ct,message_sent,es
1625929862,user_sw3kh5lxfre9o3ct,message_received,es
1625930196,user_sw3kh5lxfre9o3ct,message_received,es
1625930458,user_sw3kh5lxfre9o3ct,message_sent,es
1625930506,user_sw3kh5lxfre9o3ct,message_received,es
1625930630,user_sw3kh5lxfre9o3ct,message_sent,es
1625930870,user_sw3kh5lxfre9o3ct,message_sent,es
1625931208,user_sw3kh5lxfre9o3ct,message_sent,es
1625931314,user_sw3kh5lxfre9o3ct,message_received,es
1625931553,user_sw3kh5lxfre9o3ct,message_received,es
1625931716,user_sw3kh5lxfre9o3ct,message_received,es
1625931984,user_sw3kh5lxfre9o3ct,message_received,es
1625932074,user_sw3kh5lxfre9o3ct,message_received,es
1625932298,user_sw3kh5lxfre9o3ct,message_sent,es
1625932628,user_sw3kh5lxfre9o3ct,message_received,es
1625932713,user_sw3kh5lxfre9o3ct,message_received,es
1625932751,user_sw3kh5lxfre9o3ct,message_sent,es
1625932898,user_sw3kh5lxfre9o3ct,message_sent,es
1625933015,user_sw3kh5lxfre9o3ct,message_received,es
1625933283,user_sw3kh5lxfre9o3ct,message_received,es
1625933289,user_sw3kh5lxfre9o3ct,message_received,es
1625933385,user_sw3kh5lxfre9o3ct,message_sent,es
1625933526,user_sw3kh5lxfre9o3ct,message_received,es
1625933647,user_sw3kh5lxfre9o3ct,message_received,es
1625933969,user_sw3kh5lxfre9o3ct,message_received,es
1625934125,user_sw3kh5lxfre9o3ct,message_received,es
1625934409,user_sw3kh5lxfre9o3ct,message_sent,es
1625934705,user_sw3kh5lxfre9o3ct,message_received,es
1625935004,user_sw3kh5lxfre9o3ct,message_received,es
1625935348,user_sw3kh5lxfre9o3ct,message_sent,es
1625935385,user_sw3kh5lxfre9o3ct,message_sent,es
1625935468,user_sw3kh5lxfre9o3ct,message_received,es
1625935475,user_sw3kh5lxfre9o3ct,message_received,es
1625935516,user_sw3kh5lxfre9o3ct,message_received,es
1625935856,user_sw3kh5lxfre9o3ct,message_sent,es
1625936047,user_sw3kh5lxfre9o3ct,message_sent,es
1625936396,user_sw3kh5lxfre9o3ct,message_sent,es
1625936505,user_sw3kh5lxfre9o3ct,message_received,es
1625936695,user_sw3kh5lxfre9o3ct,message_received,es
1625937041,user_sw3kh5lxfre9o3ct,message_received,es
1625937346,user_sw3kh5lxfre9o3ct,message_received,es
1625937346,user_sw3kh5lxfre9o3ct,message_sent,es
1625937568,user_sw3kh5lxfre9o3ct,message_received,es
1625937814,user_sw3kh5lxfre9o3ct,message_sent,es
1625938140,user_sw3kh5lxfre9o3ct,message_sent,es
1625938167,user_sw3kh5lxfre9o3ct,message_sent,es
1625938407,user_sw3kh5lxfre9o3ct,message_received,es
1625938670,user_sw3kh5lxfre9o3ct,message_received,es
1625938979,user_sw3kh5lxfre9o3ct,message_received,es
1625939287,user_sw3kh5lxfre9o3ct,message_sent,es
